id,key,value,type
32531285,created_by,JOSM,regular
32531300,created_by,JOSM,regular
32531301,created_by,JOSM,regular
32531306,created_by,JOSM,regular
32531336,created_by,JOSM,regular
32533264,highway,traffic_signals,regular
32535673,highway,traffic_signals,regular
32535675,highway,traffic_signals,regular
32536106,noexit,yes,regular
32557217,highway,traffic_signals,regular
32677944,highway,traffic_signals,regular
32678236,highway,traffic_signals,regular
32678236,crossing,traffic_signals,regular
32692627,name,Claremont,regular
32692627,place,suburb,regular
32692627,created_by,JOSM,regular
32828381,railway,level_crossing,regular
32828638,railway,level_crossing,regular
32837314,highway,traffic_signals,regular
32837326,highway,traffic_signals,regular
32837330,created_by,JOSM,regular
32837334,created_by,JOSM,regular
32837339,highway,traffic_signals,regular
32837374,created_by,JOSM,regular
32881292,highway,traffic_signals,regular
32881295,highway,traffic_signals,regular
32881301,highway,turning_circle,regular
32881316,highway,traffic_signals,regular
32881320,created_by,JOSM,regular
32881330,horse,no,regular
32881330,bicycle,yes,regular
32881330,highway,traffic_signals,regular
32881330,crossing,traffic_signals,regular
32881488,created_by,JOSM,regular
32881489,created_by,JOSM,regular
32881491,created_by,JOSM,regular
32881499,name,Shenton Park,regular
32881499,place,suburb,regular
32881499,created_by,JOSM,regular
32881500,name,Subiaco,regular
32881500,place,suburb,regular
32881500,created_by,JOSM,regular
32881651,created_by,JOSM,regular
32881687,created_by,JOSM,regular
32881688,created_by,JOSM,regular
32881689,created_by,JOSM,regular
32881692,highway,traffic_signals,regular
32884169,name,West Perth,regular
32884169,place,suburb,regular
32884170,name,East Perth,regular
32884170,place,suburb,regular
32884184,name,Osborne Park,regular
32884184,place,suburb,regular
32884184,created_by,JOSM,regular
32884185,name,City Beach,regular
32884185,place,suburb,regular
32884186,name,Cottesloe,regular
32884186,place,suburb,regular
32884187,name,Mosman Park,regular
32884187,place,suburb,regular
32884187,created_by,JOSM,regular
32884192,name,South Perth,regular
32884192,place,suburb,regular
32884192,created_by,JOSM,regular
32926393,highway,traffic_signals,regular
32926400,name,Northbridge,regular
32926400,place,suburb,regular
32926400,created_by,JOSM,regular
32951483,highway,turning_circle,regular
32951497,highway,turning_circle,regular
32951573,highway,turning_circle,regular
32951625,highway,turning_circle,regular
32951705,highway,turning_circle,regular
32951718,highway,turning_circle,regular
32951736,highway,turning_circle,regular
32951759,highway,turning_circle,regular
32951784,highway,turning_circle,regular
32951926,highway,turning_circle,regular
32951929,highway,turning_circle,regular
32952007,highway,turning_circle,regular
32958303,created_by,JOSM,regular
32958310,name,Medina Hotel,regular
32958310,tourism,hotel,regular
32958310,created_by,Potlatch 0.4a,regular
32958315,created_by,JOSM,regular
32958316,created_by,JOSM,regular
32958347,created_by,JOSM,regular
32958348,created_by,JOSM,regular
32958349,created_by,JOSM,regular
32958713,created_by,JOSM,regular
32958721,created_by,JOSM,regular
32958728,highway,traffic_signals,regular
32958729,highway,traffic_signals,regular
32958730,created_by,JOSM,regular
32958731,highway,traffic_signals,regular
32958734,created_by,JOSM,regular
32958738,created_by,JOSM,regular
32997619,highway,turning_circle,regular
32997621,highway,turning_circle,regular
32997624,highway,turning_circle,regular
32997628,highway,turning_circle,regular
32997631,highway,turning_circle,regular
32997639,highway,turning_circle,regular
32997713,highway,turning_circle,regular
32997717,highway,turning_circle,regular
32997721,highway,turning_circle,regular
32997729,highway,turning_circle,regular
32997732,highway,turning_circle,regular
32997751,highway,turning_circle,regular
33017249,created_by,JOSM,regular
33017250,created_by,JOSM,regular
33017286,created_by,JOSM,regular
33017289,created_by,JOSM,regular
33017604,name,Leederville,regular
33017604,place,suburb,regular
33017965,highway,traffic_signals,regular
33017965,crossing,traffic_signals,regular
33018580,highway,traffic_signals,regular
33025112,highway,traffic_signals,regular
33025118,created_by,JOSM,regular
33025119,created_by,JOSM,regular
33025122,created_by,JOSM,regular
33025123,created_by,JOSM,regular
33025124,created_by,JOSM,regular
33025125,created_by,JOSM,regular
33025132,created_by,JOSM,regular
33025133,created_by,JOSM,regular
33025139,created_by,JOSM,regular
33025140,created_by,JOSM,regular
33025144,created_by,JOSM,regular
33025148,created_by,JOSM,regular
33025149,created_by,JOSM,regular
33025150,created_by,JOSM,regular
33025152,created_by,JOSM,regular
33025154,created_by,JOSM,regular
